CENSUS BLOCK,CENSUS BLOCK FULL,TOTAL POPULATION
0101001000,170310101001000,128
0101001001,170310101001001,71
0101001002,170310101001002,45
0101001003,170310101001003,335
0101002000,170310101002000,152
0101002001,170310101002001,45
0101002002,170310101002002,363
0101002003,170310101002003,42
0101002004,170310101002004,154
0101002005,170310101002005,151
0101002006,170310101002006,193
0101002007,170310101002007,143
0101002008,170310101002008,274
0101002009,170310101002009,0
0101002010,170310101002010,149
0101002011,170310101002011,223
0101002012,170310101002012,120
0101002013,170310101002013,302
0101003000,170310101003000,268
0101003001,170310101003001,0
0101003002,170310101003002,0
0101003003,170310101003003,148
0101003004,170310101003004,291
0101003005,170310101003005,174
0101003006,170310101003006,171
0101003007,170310101003007,182
0101003008,170310101003008,192
0101003009,170310101003009,114
0101003010,170310101003010,153
0101003011,170310101003011,236
0101003012,170310101003012,35
0102011000,170310102011000,141
0102011001,170310102011001,74
0102011002,170310102011002,68
0102011003,170310102011003,75
0102011004,170310102011004,117
0102011005,170310102011005,107
0102011006,170310102011006,151
0102011007,170310102011007,237
0102011008,170310102011008,138
0102011009,170310102011009,42
0102011010,170310102011010,134
0102011011,170310102011011,32
0102011012,170310102011012,62
0102011013,170310102011013,67
0102012000,170310102012000,40
0102012001,170310102012001,66
0102012002,170310102012002,133
0102012003,170310102012003,74
0102012004,170310102012004,0
0102012005,170310102012005,0
0102012006,170310102012006,19
0102012007,170310102012007,0
0102012008,170310102012008,111
0102012009,170310102012009,86
0102012010,170310102012010,36
0102012011,170310102012011,45
0102012012,170310102012012,76
0102012013,170310102012013,36
0102012014,170310102012014,88
0102012015,170310102012015,413
0102012016,170310102012016,82
0102012017,170310102012017,127
0102012018,170310102012018,77
0102012019,170310102012019,35
0102012020,170310102012020,0
0102012021,170310102012021,104
0102012022,170310102012022,26
0102012023,170310102012023,79
0102012024,170310102012024,378
0102012025,170310102012025,234
0102012026,170310102012026,50
0102012027,170310102012027,116
0102012028,170310102012028,35
0102012029,170310102012029,15
0102012030,170310102012030,175
0102012031,170310102012031,82
0102012032,170310102012032,71
0102012033,170310102012033,80
0102012034,170310102012034,105
0102012035,170310102012035,105
0102012036,170310102012036,210
0102012037,170310102012037,56
0102012038,170310102012038,135
0102012039,170310102012039,26
0102012040,170310102012040,246
0102013000,170310102013000,155
0102013001,170310102013001,51
0102013002,170310102013002,52
0102013003,170310102013003,88
0102013004,170310102013004,157
0102013005,170310102013005,183
0102013006,170310102013006,10
0102013007,170310102013007,57
0102013008,170310102013008,69
0102013009,170310102013009,28
0102013010,170310102013010,112
0102013011,170310102013011,171
0102021000,170310102021000,61
0102021001,170310102021001,194
0102021002,170310102021002,0
0102021003,170310102021003,0
0102021004,170310102021004,406
0102021005,170310102021005,174
0102021006,170310102021006,16
0102021007,170310102021007,127
0102021008,170310102021008,0
0102021009,170310102021009,132
0102021010,170310102021010,0
0102021011,170310102021011,5
0102021012,170310102021012,130
0102021013,170310102021013,20
0102022000,170310102022000,33
0102022001,170310102022001,78
0102022002,170310102022002,1
0102022003,170310102022003,68
0102022004,170310102022004,219
0102022005,170310102022005,205
0102022006,170310102022006,129
0102022007,170310102022007,446
0102022008,170310102022008,84
0102022009,170310102022009,122
0102022010,170310102022010,168
0103001000,170310103001000,266
0103001001,170310103001001,46
0103001002,170310103001002,31
0103001003,170310103001003,99
