GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Minute,Margin of Error
0100000US,,United States,0100000US,,United States,United States,25.4,0.1
0100000US,,United States,01000A0US,,United States - In metropolitan or micropolitan statistical area,In metropolitan or micropolitan statistical area,25.5,0.1
0100000US,,United States,310M100US10020,10020,"United States - In metropolitan or micropolitan statistical area - Abbeville, LA Micro Area","Abbeville, LA Micro Area",28.5,1.4
0100000US,,United States,310M100US10100,10100,"United States - In metropolitan or micropolitan statistical area - Aberdeen, SD Micro Area","Aberdeen, SD Micro Area",13.7,0.7
0100000US,,United States,310M100US10140,10140,"United States - In metropolitan or micropolitan statistical area - Aberdeen, WA Micro Area","Aberdeen, WA Micro Area",24.0,1.0
0100000US,,United States,310M100US10180,10180,"United States - In metropolitan or micropolitan statistical area - Abilene, TX Metro Area","Abilene, TX Metro Area",16.7,0.5
0100000US,,United States,310M100US10220,10220,"United States - In metropolitan or micropolitan statistical area - Ada, OK Micro Area","Ada, OK Micro Area",17.3,1.0
0100000US,,United States,310M100US10300,10300,"United States - In metropolitan or micropolitan statistical area - Adrian, MI Micro Area","Adrian, MI Micro Area",26.5,0.7
0100000US,,United States,310M100US10420,10420,"United States - In metropolitan or micropolitan statistical area - Akron, OH Metro Area","Akron, OH Metro Area",23.0,0.2
0100000US,,United States,310M100US10460,10460,"United States - In metropolitan or micropolitan statistical area - Alamogordo, NM Micro Area","Alamogordo, NM Micro Area",20.2,1.0
0100000US,,United States,310M100US10500,10500,"United States - In metropolitan or micropolitan statistical area - Albany, GA Metro Area","Albany, GA Metro Area",19.9,0.6
0100000US,,United States,310M100US10540,10540,"United States - In metropolitan or micropolitan statistical area - Albany-Lebanon, OR Micro Area","Albany-Lebanon, OR Micro Area",22.5,0.6
0100000US,,United States,310M100US10580,10580,"United States - In metropolitan or micropolitan statistical area - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",22.2,0.2
0100000US,,United States,310M100US10620,10620,"United States - In metropolitan or micropolitan statistical area - Albemarle, NC Micro Area","Albemarle, NC Micro Area",26.0,1.0
0100000US,,United States,310M100US10660,10660,"United States - In metropolitan or micropolitan statistical area - Albert Lea, MN Micro Area","Albert Lea, MN Micro Area",18.0,0.6
0100000US,,United States,310M100US10700,10700,"United States - In metropolitan or micropolitan statistical area - Albertville, AL Micro Area","Albertville, AL Micro Area",24.4,1.0
0100000US,,United States,310M100US10740,10740,"United States - In metropolitan or micropolitan statistical area - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",23.7,0.2
0100000US,,United States,310M100US10760,10760,"United States - In metropolitan or micropolitan statistical area - Alexander City, AL Micro Area","Alexander City, AL Micro Area",24.8,1.1
